Degree,Number,WSJPercent
Business,366815,20.5
Social Sciences or History,178543,10
Health and related Programs,163440,9.1
Psychology,108986,6.1
Education,105785,5.9
Biological and Biomedical Science,95849,5.4
Visual and Performing Arts,95797,5.3
Communications or Journalism,83770,4.7
Engineering,81382,4.5
English or Literature,53767,3
Homeland security or Law enforcement or Firefighting,53767,3
Computer and information sciences,47384,2.6
Liberal arts and sciences or general studies or humanities,46925,2.6
